SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
44.89732,8700,0,4,69,52,44,,,,0,0,0,0,0
45.1269,8750,0,4,69,52,44,,,,0,0,0,0,0
45.39445,8800,0,4,69,52,44,,,,0,0,0,0,0
45.63432,8850,0,4,69,52,44,,,,0,0,0,0,0
45.91148,8900,0,4,69,52,44,,,,0,0,0,0,0
46.19601,8950,0,4,69,52,44,,,,0,0,0,0,0
46.43739,9000,0,4,69,52,44,,,,0,0,0,0,0
46.70998,9050,0,4,69,52,44,,,,0,0,0,0,0
46.99014,9100,0,4,69,52,44,,,,0,0,0,0,0
47.29157,9150,0,4,69,52,44,,,,0,0,0,0,0
47.57415,9200,0,4,69,52,44,,,,0,0,0,0,0
47.81718,9250,0,4,69,52,44,,,,0,0,0,0,0
48.11935,9300,0,4,69,52,44,,,,0,0,0,0,0
48.40837,9350,0,4,69,52,44,,,,0,0,0,0,0
48.68957,9400,0,4,69,52,44,,,,0,0,0,0,0
48.94344,9450,0,4,69,52,44,,,,0,0,0,0,0
49.22058,9500,0,4,69,52,44,,,,0,0,0,0,0
49.51945,9550,0,4,69,52,44,,,,0,0,0,0,0
49.80806,9600,0,4,69,52,44,,,,0,0,0,0,0
50.08429,9650,0,4,69,52,44,,,,0,0,0,0,0
50.33235,9700,0,4,69,52,44,,,,0,0,0,0,0
50.60887,9750,0,4,69,52,44,,,,0,0,0,0,0
50.87851,9800,0,4,69,52,44,,,,0,0,0,0,0
51.12434,9850,0,4,69,52,44,,,,0,0,0,0,0
51.39767,9900,0,4,69,52,44,,,,0,0,0,0,0
51.63828,9950,0,4,69,52,44,,,,0,0,0,0,0
51.91956,10000,0,4,69,52,44,,,,0,0,0,0,0
52.19557,10050,0,4,69,52,44,,,,0,0,0,0,0
52.42796,10100,0,4,69,52,44,,,,0,0,0,0,0
52.68031,10150,0,4,69,52,44,,,,0,0,0,0,0
52.91484,10200,0,4,69,52,44,,,,0,0,0,0,0
53.17242,10250,0,4,69,52,44,,,,0,0,0,0,0
53.4202,10300,0,4,69,52,44,,,,0,0,0,0,0
53.67809,10350,0,4,69,52,44,,,,0,0,0,0,0
